,text,polarity,subjectivity,date
885,"$CAAS nice continuation pattern:

#Trading #SwingTrading #stocks 
$SPY $NVCN $SGY $FCX $TXMD $AAPL $DRYS https://t.co/ff1dlvw26s",0.6,1.0,2016-12-06 13:50:43
556,"$AAPL so far this week, went  from the WS1 to WP. Bought weekly 110calls on WS1 for .41 and sold them @ WP for .85. https://t.co/u8lXSym3ca",0.1,1.0,2016-12-06 15:31:12
470,$AAPL Court makes key ruling on Samsung dispute =&gt; https://t.co/bNlt4ivamb #AAPL #iphone #wikiwealth,0.0,1.0,2016-12-06 15:53:38
197,"#investing 11 Dow Stocks could be key to DJIA 22,000 in 2017 $AAPL $CSCO $INTC @Apple @Cisco @Intel  https://t.co/qjCSX6HAkp",0.0,1.0,2016-12-06 17:20:29
624,The only reason I see why $AAPL introduces the iPad Mini is price + profit. According to a… https://t.co/gfhVCKormS https://t.co/1SSQR5vJIu,0.0,1.0,2016-12-06 15:15:53
194,"$AAPL In an extraordinary case not heard in 120 yrs by the court, the Supremes ruled against protection for the ""look"" of the iPhone. $SSNLF",0.333333333333,1.0,2016-12-06 17:25:17
25,$SPY How to scam people with your own stock alerts service! https://t.co/BUie4cJ7jx #stocks #stockmarket #finance $AAPL $QQQ $AMZN $NFLX $FB,0.75,1.0,2016-12-06 18:21:54
450,"#Stocks to watch today: $AAPL's comments on Watch sales, $F taps debt market, $TXMD's drug passes key trial… https://t.co/dbnfOjXX3m",0.0,1.0,2016-12-06 16:00:06
441,$AAPL 1 hour looks pretty crappy.. #stocks,0.25,1.0,2016-12-06 16:01:35
263,Looking like $AAPL will chop in this channel all week. $110 pin likely.,0.0,1.0,2016-12-06 16:59:39
319,$AAPL LMAO,0.6,1.0,2016-12-06 16:37:21
436,"RT @Pivotal_Pivots: $AAPL so far this week, went  from the WS1 to WP. Bought weekly 110calls on WS1 for .41 and sold them @ WP for .85. htt…",0.1,1.0,2016-12-06 16:04:05
542,$MDCL - Beautiful CHANNEL-Breakout-CHART-Blue-Chip-Marijuana $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB… https://t.co/pP0shcujnX,0.85,1.0,2016-12-06 15:36:57
836,Did Tim Cook just issue a warning on iphone by touting the holiday sales of an irrelevant product?! $AAPL,-0.625,1.0,2016-12-06 14:12:20
419,"RT @scutify: 3 Stocks to Watch on Monday: Apple Inc. (AAPL), GoPro Inc (GPRO) and Sony Corp (ADR) (SNE) https://t.co/JrB0nihfGO $AAPL $GPRO…",0.5,1.0,2016-12-06 16:12:40
907,"@jimcramer Tempted to sell $AAPL on any bump.  Trump-China concerns. But your voice is in my head. ""Own, don't trade.""  Stand pat?",0.6,1.0,2016-12-06 13:42:43
226,"#investing 11 Dow Stocks could be key to DJIA 22,000 in 2017 $AAPL $CSCO $INTC @Apple @Cisco @Intel  https://t.co/JNLEyaStQI",0.0,1.0,2016-12-06 17:12:33
880,"RT @SecondLevel_: $CAAS nice continuation pattern:

#Trading #SwingTrading #stocks 
$SPY $NVCN $SGY $FCX $TXMD $AAPL $DRYS https://t.co/ff1…",0.6,1.0,2016-12-06 13:51:57
346,RT @AmyDaniel212: #Wow we are #recordbreaking today on the #website thank you for visiting https://t.co/vT9HmoiNbp $dis $aapl $googl #Monda…,0.1,1.0,2016-12-06 16:30:12
64,Check Out Our #Trading #Forum! Ask Your Questions And Create Your Own Topics! #Stockmarket  $AAPL #Swingtrading https://t.co/YoSfZUJEuM,0.75,1.0,2016-12-06 18:09:30
381,U.S. Supreme Court rules for Samsung in smartphone fight with Apple. They only want $399 million. $AAPL #stillabull https://t.co/U0agbCWm4n,0.0,1.0,2016-12-06 16:20:40
237,RT @AmyDaniel212: Never stop being creative. https://t.co/vT9HmoiNbp $jwn $aa $ibm $usat $aapl $mck $googl $hpq $hpe $msft $xle $efa #Frida…,0.5,1.0,2016-12-06 17:07:34
903,RT @Martyn_Lockhart: Proof the so called $AAPL analysts know nothing. My research is showing Apple on course for the greatest qtr ever. ✌️️,1.0,1.0,2016-12-06 13:43:53
50,"They holding $AAPL at $109.50, when they let it go it should move nicely.",0.6,1.0,2016-12-06 18:15:08
324,".
Our Latest 4 Picks:  +62%, +16%, +20%, +18% So Far Today
https://t.co/NnCASVANJz
.
$FB $NFLX $AMRS $AMZN $DIA… https://t.co/NCQO9Nu8XD",0.3,0.95,2016-12-06 16:35:35
397,"$VRX $AGN $AMGN $HLF $IEP $KO $PEP $AAPL $FB $SRPT
The Sarepta HUGE BULL CASE: Just A Matter of Time. All GAAP https://t.co/0EFxqiHi1f",0.4,0.9,2016-12-06 16:16:30
133,$SPY You're Probably #Trading for the Wrong Reasons! https://t.co/UQefbvxP4o #stocks #stockmarket #investing $QQQ $DIA $AAPL $AMZN $NFLX $FB,-0.625,0.9,2016-12-06 17:42:49
871,"$AAPL if they don'e sell it out of the gates 110.92 is resistance, trading below the 5 EMA , no buy signal yet typically frustrating. #trade",-0.4,0.9,2016-12-06 13:58:36
322,"Tim Cook just needs an enthusiastic hug, guys $AAPL
https://t.co/34HrBkj5tE https://t.co/m6cIyXdks6",0.6,0.9,2016-12-06 16:36:31
747,"$AAPL #patent 9,513,663: Electronic device with touch sensitive display https://t.co/XVWit0BeRS #tech #IP https://t.co/ufQftXPpsl",0.1,0.9,2016-12-06 14:40:42
181,@terranovajoe a lot of money managers are wrong $AAPL goes to 90 @HalftimeReport,-0.5,0.9,2016-12-06 17:30:02
693,"$AAPL ""Buying Online"" on The Motley Fool message boards: https://t.co/xfQo1MzABg",0.6,0.9,2016-12-06 15:00:15
122,"Hot Options Report For Midday December 6, 2016 - $AAPL, $XOM, $BAC, $TEVA, $JPM, $COG, $SEAS, $SBUX   https://t.co/Lw7al2Zbc8",0.25,0.85,2016-12-06 17:49:46
343,https://t.co/G9pMgSr1JY &lt; Review of this fantastic traders teaching service. Try it for FREE!!! $NVO $AAPL $PCLN $MDT,0.590625,0.85,2016-12-06 16:32:15
675,"https://t.co/65zE5wMlE0
Apple CEO Tim Cook: Trust Me, Apple Watch Sales Are Hot via @YahooFinance
$AAPL",0.25,0.85,2016-12-06 15:02:42
196,Google WiFi review: Mesh networking made easy https://t.co/tPZ61d9pv2 #Macworld $AAPL https://t.co/PXOr6enfC6,0.433333333333,0.833333333333,2016-12-06 17:20:38
896,sorry bad eyes $AAPL is up $1,-0.6,0.833333333333,2016-12-06 13:45:10
897,$AAPL #Options OI chart. Free stock station app https://t.co/cnRpv2hkbQ #iTunes https://t.co/5JN4HYCeNq,0.4,0.8,2016-12-06 13:45:01
5,$CHTR in advanced talks w/ $NFLX about partnership. AWESOME news for both!! I see $NFLX going to 150-160 by end of… https://t.co/yHRhTdh3vx,0.7,0.8,2016-12-06 18:35:27
869,#Options #maxpain chart for $AAPL. Free stock station app https://t.co/VCJp7MA06J #iTunes https://t.co/8gNobbTloe,0.4,0.8,2016-12-06 13:59:09
89,"FREE REPORT
How do #equity #investment #HedgeFunds see #stocks
$GOOGL $AMZN $AAPL $BRK $XOM
in the coming weeks?… https://t.co/xCXDHMVg7N",0.4,0.8,2016-12-06 18:00:38
437,Wearables Go! free invitation. #wearables #stocks for #investors. $MSFT $AAPL $FB $GOOG $IRTC https://t.co/niHBb5b96r,0.4,0.8,2016-12-06 16:04:01
674,"BULLISH CALL FLOW in $AAPL SIZE $108K AND $110.0 STRIKE, REF PRICE $110.33, EXPIRY FRIDAY!! || FREE OPTIONS FLOW ACCESS DM OR MESSAGE BELOW",0.4,0.8,2016-12-06 15:02:48
20,$CMG LOL you lucky bastards..... #options #stocks #optionstrading #stockmarket #finance #investing $SPY $QQQ $GOOG… https://t.co/eUoxtvoRCE,0.566666666667,0.766666666667,2016-12-06 18:26:05
833,Fake #Apple Chargers Bring Fatal Risks: Report. Read more: https://t.co/sMSwxmLZQx $AAPL,0.0,0.75,2016-12-06 14:12:59
901,Tim Cook claims resurgent #Apple Watch sales over holiday period thus far. Read more: https://t.co/XAZpVE9Jmc $AAPL,0.3,0.75,2016-12-06 13:44:31
835,Fake #Apple Chargers Bring Fatal Risks: Report. Read more: https://t.co/1n0qsApBMK $AAPL,0.0,0.75,2016-12-06 14:12:59
