Date,Adj. Open,Adj. Close,S&P Open,Adj. High,Adj. Low,Adj. Volume,S&P Adj. Close
2010-12-13,42.2073888745,41.8560618407,109953900.0,42.2971724498,41.7688806879,1242.52002,1240.459961
2010-12-14,41.8638691081,41.6764946901,87752000.0,41.9692672183,41.5086384406,1241.839966,1241.589966
2010-12-15,41.6387595642,41.6856031687,104328000.0,42.0291229351,41.5333614541,1241.579956,1235.22998
2010-12-16,41.780591589,41.8014109688,80507700.0,41.9783756969,41.6517716766,1236.339966,1242.869995
2010-12-17,41.8508569957,41.7181334496,96732300.0,41.8716763755,41.6686874227,1243.630005,1243.910034
2010-12-20,41.846953362,41.9263272475,96402600.0,42.061653216,41.4084451754,1245.76001,1247.079956
2010-12-21,42.0291229351,42.1859188891,64088500.0,42.209991297,41.9055078677,1249.430054,1254.599976
2010-12-22,42.2060876633,42.3101845622,66480400.0,42.3830523914,42.1006895531,1254.939941,1258.839966
2010-12-23,42.2893651824,42.1071956093,55789300.0,42.308883351,42.0512435262,1257.530029,1256.77002
2010-12-27,42.0098519967,42.2477264228,62454000.0,42.3466184768,41.8365436721,1254.660034,1257.540039
2010-12-28,42.4078014291,42.3505221105,43981000.0,42.5053662476,42.2971724498,1259.099976,1258.51001
2010-12-29,42.4481129532,42.3271003083,40784800.0,42.4780408117,42.3023772948,1258.780029,1259.780029
2010-12-30,42.3518233218,42.1150028767,39373600.0,42.3557269555,42.0356289913,1259.439941,1257.880005
2010-12-31,42.022616879,41.9718696407,48377000.0,42.0915810745,41.8092182362,1256.76001,1257.640015
2011-01-03,42.3726427015,42.8840187174,111284600.0,42.9738022927,42.2680903787,1257.619995,1271.869995
2011-01-04,43.2574663423,43.1078270501,77270200.0,43.2652736097,42.6992467219,1272.949951,1270.199951
2011-01-05,42.881416295,43.4604552952,63879900.0,43.5046964772,42.8749102388,1268.780029,1276.560059
2011-01-06,43.5540644315,43.4253225918,75107200.0,43.6231066997,43.3173220592,1276.290039,1273.849976
2011-01-07,43.4591540839,43.7363120773,77982800.0,43.7662399357,43.1872009355,1274.410034,1271.5
2011-01-10,44.0889403223,44.5606293955,112140000.0,44.6614732663,43.8729392571,1270.839966,1269.75
2011-01-11,44.8761731203,44.4545806797,111027000.0,44.8865828102,44.1722178415,1272.579956,1274.47998
2011-01-12,44.6640756888,44.8163174035,75647600.0,44.8176186147,44.5014242843,1275.650024,1285.959961
2011-01-13,44.912607035,44.9802700192,74195100.0,45.1051862979,44.742148363,1285.780029,1283.76001
2011-01-14,45.0075954552,45.3446091654,77210000.0,45.3446091654,44.8189198259,1282.900024,1293.23999
2011-01-18,42.8775126613,44.3257607673,470249500.0,44.8608838883,42.419486306,1293.219971,1295.02002
2011-01-19,45.3276934194,44.0902415336,283903200.0,45.3602237003,43.8352041312,1294.52002,1281.920044
2011-01-20,43.7766496256,43.288695412,191197300.0,44.0199761268,42.9555853354,1280.849976,1280.26001
2011-01-21,43.4305274367,42.5131735151,188600300.0,43.574961884,42.5014626139,1283.630005,1283.349976
2011-01-24,42.5326916836,43.9093731717,143670800.0,43.9093731717,42.5131735151,1283.290039,1290.839966
2011-01-25,43.7636375132,44.4233516101,136717000.0,44.428556455,43.5346243356,1288.170044,1291.180054
2011-01-26,44.626340563,44.742148363,126718900.0,44.9698603294,44.4363637224,1291.969971,1296.630005
2011-01-27,44.7330398843,44.6588708439,71256500.0,44.851814446,44.609554938,1297.51001,1299.540039
2011-01-28,44.7837871226,43.7337096548,148014300.0,44.813714981,43.3990381248,1299.630005,1276.339966
2011-01-31,43.6946733177,44.1526996729,94311700.0,44.2463868819,43.4994916322,1276.5,1286.119995
2011-02-01,44.4103394977,44.8956912889,106658300.0,44.9763663855,44.3687007381,1289.140015,1307.589966
2011-02-02,44.8202210372,44.8033052911,64738800.0,44.9243179361,44.7031120259,1305.910034,1304.030029
2011-02-03,44.7356423068,44.6887987023,98449400.0,44.7928956012,44.0525064077,1302.77002,1307.099976
2011-02-04,44.714822927,45.0869693406,80460100.0,45.1129935654,44.697907181,1307.01001,1310.869995
2011-02-07,45.2678377025,45.7870209858,121255400.0,45.9652869252,45.2353074216,1311.849976,1319.050049
2011-02-08,46.0212390084,46.2190231163,95260200.0,46.2606618758,45.8221536892,1318.76001,1324.569946
2011-02-09,46.217721905,46.6041816423,120686300.0,46.7134833861,46.1760831455,1322.47998,1320.880005
2011-02-10,46.503988377,46.1331431747,232137500.0,46.8436045097,45.2821510261,1318.130005,1321.869995
2011-02-11,46.1608069256,46.4337229703,91893200.0,46.5573380377,46.0030350632,1318.660034,1329.150024
2011-02-14,46.4259157029,46.7369051884,77604100.0,46.7759415255,46.415506013,1328.72998,1332.319946
2011-02-15,46.7382063996,46.8305923974,71043700.0,46.839700876,46.5248077568,1330.430054,1328.01001
2011-02-16,46.9477014087,47.2508836267,120289400.0,47.4811980156,46.9086650716,1329.51001,1336.319946
2011-02-17,46.4857714197,46.6223985996,132645800.0,46.8787372131,46.3907829995,1334.369995,1340.430054
2011-02-18,46.6757482603,45.6152611026,204014300.0,46.7785439479,45.479935134,1340.380005,1343.01001
2011-02-22,44.5209424528,44.0603136751,218138900.0,44.9438361046,43.9445058751,1338.910034,1315.439941
2011-02-23,44.0811330549,44.5820993809,167963600.0,44.8449440507,44.0603136751,1315.439941,1307.400024
2011-02-24,44.764268954,44.6159308731,124975200.0,44.9113058237,44.0290846055,1307.089966,1306.099976
2011-02-25,44.9256191473,45.3029704059,95004700.0,45.3381031093,44.8657634304,1307.339966,1319.880005
2011-02-28,45.7037434667,45.9600820802,100768500.0,46.1995049477,45.6881289318,1321.609985,1327.219971
2011-03-01,46.2541558197,45.4526096981,114034200.0,46.2866861006,45.2406423876,1328.640015,1306.329956
2011-03-02,45.5371884284,45.8182500555,150647700.0,46.1084201612,45.3341994755,1305.469971,1308.439941
2011-03-03,46.4779641523,46.7863512153,125197100.0,46.8162790738,46.3127103253,1312.369995,1330.969971
2011-03-04,46.8527129884,46.8436045097,113316700.0,46.8813396356,46.5508319816,1330.72998,1321.150024
2011-03-07,47.0257740828,46.2398424961,136530800.0,47.0609067862,45.7128519453,1322.719971,1310.130005
2011-03-08,46.1812879904,46.2918909455,89079200.0,46.5052895883,45.8351658015,1311.050049,1321.819946
2011-03-09,46.1526613432,45.8637924487,113326500.0,46.1617698219,45.6204659475,1319.920044,1320.02002
2011-03-10,45.4278866846,45.1090899316,126884800.0,45.5124654149,44.8787755428,1315.719971,1295.109985
2011-03-11,44.934727626,45.8013343094,117770100.0,45.8442742802,44.8917876552,1293.430054,1304.280029
2011-03-14,45.9561784465,46.0056244735,108989300.0,46.3861506875,45.7128519453,1301.189941,1296.390015
2011-03-15,44.5144363966,44.9477397383,180270300.0,45.2613316463,44.2541941493,1288.459961,1281.869995
2011-03-16,44.5014242843,42.9412720118,290502800.0,44.6315454079,42.4533177982,1279.459961,1256.880005
2011-03-17,43.828698075,43.5437328143,164855600.0,44.1904347988,43.0257986938,1261.609985,1273.719971
2011-03-18,43.8677344121,43.0271519534,188303500.0,44.0069640144,42.9399708006,1276.709961,1279.209961
2011-03-21,43.7193963312,44.1500972504,102350500.0,44.2073505448,43.6244079109,1281.650024,1298.380005
2011-03-22,44.5742921135,44.3973273853,81480700.0,44.5820993809,44.1292778707,1298.290039,1293.77002
2011-03-23,44.147494828,44.1357839268,93249100.0,44.2698086842,43.7141914862,1292.189941,1297.540039
2011-03-24,44.4819061157,44.8878840215,101178000.0,45.0219087788,44.092843956,1300.609985,1309.660034
2011-03-25,45.2912595047,45.7427798038,112227500.0,45.8104427881,45.1546323249,1311.800049,1313.800049
2011-03-28,45.9522748128,45.5996465678,77338800.0,46.1045165275,45.5996465678,1315.449951,1310.189941
2011-03-29,45.2379098441,45.6673095521,88225200.0,45.6673095521,45.0297160462,1309.369995,1319.439941
2011-03-30,45.6256707925,45.364127334,82351500.0,45.6568998622,45.2092831969,1321.890015,1328.26001
2011-03-31,45.0687523833,45.3481874963,68504800.0,45.5163690486,45.0297160462,1327.439941,1325.829956
2011-04-01,45.6868277206,44.8345343608,104665400.0,45.7489215208,44.670581745,1329.47998,1332.410034
2011-04-04,44.8020040799,44.3960261741,115021200.0,44.8397392057,44.0329882392,1333.560059,1332.869995
2011-04-05,43.8495174548,44.0967475897,120682800.0,44.5339545652,43.7206975424,1332.030029,1332.630005
2011-04-06,44.3999298078,43.9861446347,100634800.0,44.7486544192,43.8690356234,1335.939941,1335.540039
2011-04-07,43.9939519021,43.9913494796,93361800.0,44.2971341201,43.7246011761,1334.819946,1333.51001
2011-04-08,44.2307723471,43.5983836862,94383800.0,44.2607002055,43.453949239,1336.160034,1328.170044
2011-04-11,43.4682625626,43.0440676995,99736700.0,43.6777575716,42.9425732231,1329.01001,1324.459961
2011-04-12,43.0037301512,43.2522614973,106409800.0,43.4253225918,42.9659950253,1321.959961,1314.160034
2011-04-13,43.5931788413,43.7376132885,86555000.0,43.7389144997,43.2678760322,1314.030029,1314.410034
2011-04-14,43.5645521941,43.2548639198,75450200.0,43.7206975424,43.2080203153,1311.130005,1314.52002
2011-04-15,43.3693705086,42.6094631466,113401400.0,43.4136116906,42.523583205,1314.540039,1319.680054
2011-04-18,42.4324984184,43.1806948793,152474700.0,43.2301409063,41.659578944,1313.349976,1305.140015
2011-04-19,43.3433462839,43.9627228324,104844600.0,43.9783373672,43.162477922,1305.98999,1312.619995
2011-04-20,44.697907181,44.5547739449,175166600.0,44.9893784979,44.4363637224,1319.119995,1330.359985
2011-04-21,46.1929988916,45.6329575754,188452600.0,46.2099146376,45.3498140104,1333.22998,1337.380005
2011-04-25,45.5866344554,45.9339277344,66636500.0,46.030347487,45.5814296105,1337.140015,1335.25
2011-04-26,46.0134317409,45.5970441453,84700000.0,46.1916976803,45.457814543,1336.75,1347.23999
2011-04-27,45.8338645903,45.5619114419,89053300.0,45.8481779139,45.1650420148,1348.430054,1355.660034
2011-04-28,45.0466317923,45.1194996215,90239800.0,45.5098629925,44.9594506395,1353.859985,1360.47998
2011-04-29,45.1234032552,45.5593090194,251586300.0,46.0563717117,45.1085694472,1360.140015,1363.609985
2011-05-02,45.5085617812,45.0583426934,110678400.0,45.6034200803,44.956848217,1365.209961,1361.219971
2011-05-03,45.2808498149,45.3081752508,78337000.0,45.5280799498,44.9724627518,1359.76001,1356.619995
2011-05-04,45.3159825182,45.4864411902,97312600.0,45.7805149296,45.1364153676,1355.900024,1347.319946
2011-05-05,45.3341994755,45.1194996215,83992300.0,45.6660083408,45.028414835,1344.160034,1335.099976
2011-05-06,45.502055725,45.1077887204,70033600.0,45.5423932734,45.0492342148,1340.23999,1340.199951
