Date,Adj. Open,Adj. Close,S&P Open,Adj. High,Adj. Low,Adj. Volume,S&P Adj. Close
2010-12-13,8.13,8.23,29524200.0,8.43,8.1,1242.52002,1240.459961
2010-12-14,8.23,8.05,15770200.0,8.27,8.0,1241.839966,1241.589966
2010-12-15,8.0,8.02,17187800.0,8.24,7.97,1241.579956,1235.22998
2010-12-16,8.01,8.03,9935500.0,8.12,7.96,1236.339966,1242.869995
2010-12-17,8.05,8.1,25999900.0,8.1,7.86,1243.630005,1243.910034
2010-12-20,8.09,8.24,14044600.0,8.24,8.06,1245.76001,1247.079956
2010-12-21,8.27,8.14,9684600.0,8.32,8.13,1249.430054,1254.599976
2010-12-22,8.17,8.11,9203300.0,8.18,8.09,1254.939941,1258.839966
2010-12-23,8.04,8.04,10784500.0,8.11,7.95,1257.530029,1256.77002
2010-12-27,8.0,8.05,8493000.0,8.08,7.93,1254.660034,1257.540039
2010-12-28,8.07,8.09,6138100.0,8.17,8.05,1259.099976,1258.51001
2010-12-29,8.1,8.08,6926400.0,8.15,8.06,1258.780029,1259.780029
2010-12-30,8.1,8.14,6213500.0,8.15,8.1,1259.439941,1257.880005
2010-12-31,8.14,8.18,7971200.0,8.19,8.05,1256.76001,1257.640015
2011-01-03,8.44,8.47,21152900.0,8.55,8.39,1257.619995,1271.869995
2011-01-04,8.56,8.77,26875300.0,8.84,8.54,1272.949951,1270.199951
2011-01-05,8.74,8.91,19457400.0,8.95,8.72,1268.780029,1276.560059
2011-01-06,8.92,8.69,21198200.0,8.94,8.67,1276.290039,1273.849976
2011-01-07,8.73,8.83,14062400.0,8.86,8.63,1274.410034,1271.5
2011-01-10,9.05,9.19,42654000.0,9.25,8.92,1270.839966,1269.75
2011-01-11,8.77,8.36,82092400.0,8.8,8.33,1272.579956,1274.47998
2011-01-12,8.41,8.39,34001000.0,8.5,8.36,1275.650024,1285.959961
2011-01-13,8.44,8.26,31520900.0,8.46,8.24,1285.780029,1283.76001
2011-01-14,8.32,8.2,38179400.0,8.33,8.05,1282.900024,1293.23999
2011-01-18,8.2,8.1,22013300.0,8.24,8.07,1293.219971,1295.02002
2011-01-19,8.13,7.93,22737700.0,8.17,7.9,1294.52002,1281.920044
2011-01-20,7.88,8.02,25167900.0,8.02,7.85,1280.849976,1280.26001
2011-01-21,8.14,7.54,64327200.0,8.15,7.51,1283.630005,1283.349976
2011-01-24,7.53,7.68,28030200.0,7.73,7.5,1283.290039,1290.839966
2011-01-25,7.66,7.48,36805900.0,7.68,7.34,1288.170044,1291.180054
