,text,polarity,subjectivity,date
522,RT @IBMJobsGlobal: What is your company doing to tap the potential of People w Disabilities? #PwD #InclusiveIBM https://t.co/qcOi9ACQUT htt…,0.0,1.0,2016-12-06 02:41:14
979,Me ha gustado un vídeo de @YouTube de @drmoddnstine (https://t.co/qbUxUqu6kl - Retro PC build! My 1995 IBM Aptiva PC gets a nice,0.6,1.0,2016-12-06 01:48:17
546,I added a video to a @YouTube playlist https://t.co/B24B42vrqI Elsa baby Danger between lakes Spiderman vs Joker! catwomen funny video,0.25,1.0,2016-12-06 02:38:30
942,"RT @alisoncrawford5: @hpcnotes @HPC_Guru @redoakHPC They did. Final three were Cray, IBM and HP.",0.0,1.0,2016-12-06 01:51:30
490,"RT @IBMIoT: Ecosystem partners play an important role in capturing the opportunity presented by #IoT and analytics, e.g. IBM/Cisco partners…",0.4,1.0,2016-12-06 02:46:59
512,RT @satya_cool: Why Watson #IoT Platform Is Important For IBM https://t.co/4psB0IXjuf https://t.co/bDhneNouDh,0.4,1.0,2016-12-06 02:43:23
529,Build a powerful backend in the cloud for your mobile app #winningSTUPIDS #BeingDavid https://t.co/4BJumAAMe6,0.3,1.0,2016-12-06 02:40:09
645,RT @IBMBluemix: Nice introduction to Bluemix mobile: #howto create a store catalog for #iOS.  https://t.co/uZp0by4IbR https://t.co/QSJZJWhM…,0.6,1.0,2016-12-06 02:27:15
588,RT @IBM: .@CharlieRose and IBM's John Kelly discuss artificial intelligence https://t.co/ZJj7RaTdAl #AI #IBMWatson,-0.6,1.0,2016-12-06 02:33:46
708,Warren Buffett's 3 Favorite Books by Preston George Pysh: https://t.co/F0g3NgcMRb $KHC $WFC $KO $IBM $AXP $PSX,0.5,1.0,2016-12-06 02:18:56
310,RT @IBM: .@CharlieRose and IBM's John Kelly discuss artificial intelligence https://t.co/ZJj7RaTdAl #AI #IBMWatson,-0.6,1.0,2016-12-06 03:09:51
482,"RT IBMIoT: Ecosystem partners play an important role in capturing the opportunity presented by #IoT and analytics, e.g. IBM/Cisco partnersh…",0.4,1.0,2016-12-06 02:48:28
654,RT @IBM: .@CharlieRose and IBM's John Kelly discuss artificial intelligence https://t.co/ZJj7RaTdAl #AI #IBMWatson,-0.6,1.0,2016-12-06 02:24:50
307,Lot-921 ibm websphere lobby 7.0 expulsion only stipend final examination: LWLETRhoG https://t.co/1oxTiTKXA8,0.0,1.0,2016-12-06 03:10:08
703,RT @IBMSystemsISVs: [Paper] IBM Storwize V7000 Unified with #Oracle Database cloud and Docker https://t.co/gNrbsnxkES #IBMStorage,-0.75,1.0,2016-12-06 02:19:24
962,"RT @IBMCPG: BLOCKCHAIN: What it is, how it works and how it could potentially impact the fast-moving Retail &amp; CPG value chain. https://t.co…",0.0,1.0,2016-12-06 01:49:36
927,RT @IBM: .@CharlieRose and IBM's John Kelly discuss artificial intelligence https://t.co/ZJj7RaTdAl #AI #IBMWatson,-0.6,1.0,2016-12-06 01:53:59
284,Yeayyy dah ada manager offer kerja kat IBM Cyber balik Malaysia nanti 😆😆😆 #happy,0.8,1.0,2016-12-06 03:12:23
536,RT @satya_cool: Why Watson #IoT Platform Is Important For IBM https://t.co/4psB0IXjuf https://t.co/bDhneNouDh,0.4,1.0,2016-12-06 02:39:40
65,Over 60% of predicitive analytics leaders are satisfied with #data quality. Are you one of them? #IBM #Watson https://t.co/f0pSGWTVDK,0.5,1.0,2016-12-06 03:35:05
483,Artificial neurons from IBM Research https://t.co/9NEdV9SvHZ @IBMGTInnovation,-0.6,1.0,2016-12-06 02:48:24
31,Grand Challenges / IBM ?! never heard of it. Didn't even know this stuff existed. How do they determine what to Teach Us at School?? Trash,0.625,1.0,2016-12-06 03:41:28
578,Why Watson #IoT Platform Is Important For IBM https://t.co/4psB0IXjuf https://t.co/bDhneNouDh,0.4,1.0,2016-12-06 02:34:49
802,RT @IBMSystemsISVs: [Paper] IBM Storwize V7000 Unified with #Oracle Database cloud and Docker https://t.co/gNrbsnxkES #IBMStorage,-0.75,1.0,2016-12-06 02:05:01
563,RT @satya_cool: Why Watson #IoT Platform Is Important For IBM https://t.co/4psB0IXjuf https://t.co/bDhneNouDh,0.4,1.0,2016-12-06 02:36:50
659,RT @IBM: .@CharlieRose and IBM's John Kelly discuss artificial intelligence https://t.co/ZJj7RaTdAl #AI #IBMWatson,-0.6,1.0,2016-12-06 02:24:03
737,Wow!! IBM you did it.... Again!!!!! https://t.co/I5ACCkfUVC,0.476837158203,1.0,2016-12-06 02:15:50
562,RT @rocki9Aarav: Why Watson #IoT Platform Is Important For IBM https://t.co/FqC4lPp2rH https://t.co/rxBDqNCMxu,0.4,1.0,2016-12-06 02:36:50
577,Why Watson #IoT Platform Is Important For IBM https://t.co/FqC4lPp2rH https://t.co/rxBDqNCMxu,0.4,1.0,2016-12-06 02:34:50
744,@zcsaale IBM for the evil side... yet again.,-1.0,1.0,2016-12-06 02:15:01
508,RT @satya_cool: Why Watson #IoT Platform Is Important For IBM https://t.co/4psB0IXjuf https://t.co/bDhneNouDh,0.4,1.0,2016-12-06 02:43:50
162,"RT @IBMSecurity: The TrickBot Trojan, which emerged only this summer, continues to widen its attack scope: https://t.co/jB8wqHvh2h #malware…",0.0,1.0,2016-12-06 03:23:22
910,RT @IBM: .@CharlieRose and IBM's John Kelly discuss artificial intelligence https://t.co/ZJj7RaTdAl #AI #IBMWatson,-0.6,1.0,2016-12-06 01:56:02
852,Ibm 000-006 final examination questions yet answers: qcMiFTqV,0.0,1.0,2016-12-06 02:01:07
606,RT @Chet_Mehta: Used memory #PowerVM DLPAR before? Performance improvements in #PowerVM 2.2.5 will be a pleasant surprise. See https://t.co…,0.733333333333,0.966666666667,2016-12-06 02:31:04
408,"To be successful, you have to have your heart in your business, and your business in your heart. T. Watson, IBM founder",0.75,0.95,2016-12-06 02:57:05
82,John Kelly - Charlie Rose https://t.co/z5vCmnkx4B,0.6,0.95,2016-12-06 03:32:15
696,RT @IBMPowerSystems: Are you and your team up-to-date on the latest technologies and certifications? @IBMTraining can help. https://t.co/pw…,0.5,0.9,2016-12-06 02:19:59
231,@ctvottawa @CatherineCTV with all the huge budget wasting contracts awarded to @IBM I'm surprised they haven't offered to repair it yet,0.25,0.9,2016-12-06 03:18:19
943,.@IBM #AppSec joins #CognitiveSecurity movement with patent pending Intelligent Finding Analytics (IFA).… https://t.co/KW8JMjNLjB,0.8,0.9,2016-12-06 01:51:23
531,Overcome infrastructure challenges that result in unnecessary complexity &amp; cost by using @IBMzSystems &amp; #Oracle. https://t.co/VGXnh6NKqI,-0.4,0.9,2016-12-06 02:40:06
23,"@Wx_Ninja @steinbachwx Yeah; IBM does both the supercomputer &amp; Phoenix. I can understand, but still think it's silly, if that's why.",-0.5,0.875,2016-12-06 03:42:50
203,"RT @Kantrowitz: Holy crap, this is incredible: https://t.co/19SkzDX1D2 https://t.co/buA7jlezFs",0.05,0.85,2016-12-06 03:20:11
698,RT @IBMResearch: Mapping hot spots on 10nm chips w/ a scanning probe thermometer https://t.co/Uka6H6tORo #IEDM2016,0.25,0.85,2016-12-06 02:19:49
333,Breadbox zSystems hybrid cloud management made easy!: https://t.co/ajLJ6ttoO5,0.541666666667,0.833333333333,2016-12-06 03:07:11
229,Breadbox zSystems hybrid cloud management made easy! https://t.co/HoAjvhwGJ4 #management,0.541666666667,0.833333333333,2016-12-06 03:18:32
545,Elsa baby Danger between lakes Spiderman vs Joker! catwomen funny video pranks Super Hero: https://t.co/B24B42vrqI via @YouTube,0.291666666667,0.833333333333,2016-12-06 02:38:32
707,RT @IBMStorage: See for yourself how easy it is to add AWS storage to #IBM Spectrum Protect: https://t.co/cLwONgMerM,0.433333333333,0.833333333333,2016-12-06 02:19:06
119,Breadbox zSystems hybrid cloud management made easy! #cloud https://t.co/JPN2Lb7NC3,0.541666666667,0.833333333333,2016-12-06 03:28:15
315,#Free #DB2 LUW V11.1 stuff on #DB2Night Show FRI 9 DEC 10am CST https://t.co/EJ838bqcM4 guest George Baklarz @IBM_DB2 It's Christmas!,0.5,0.8,2016-12-06 03:09:27
331,RT @IDCCook: Join IDC &amp; IBM to learn why enterprise search &amp; content analytics are critical components for going #Cognitive  https://t.co/R…,0.0,0.8,2016-12-06 03:07:30
53,RT @HendrikLeddin: IBM CEO Ginni Rometty on how #blockchain provides a pivotal opportunity for companies and industries: https://t.co/mpcJu…,0.5,0.8,2016-12-06 03:37:20
282,RT @db2nightshow: #Free #DB2 LUW V11.1 stuff on #DB2Night Show FRI 9 DEC 10am CST https://t.co/EJ838bqcM4 guest George Baklarz @IBM_DB2 It'…,0.4,0.8,2016-12-06 03:12:35
66,RT @db2nightshow: #Free #DB2 LUW V11.1 stuff on #DB2Night Show FRI 9 DEC 10am CST https://t.co/EJ838bqcM4 guest George Baklarz @IBM_DB2 It'…,0.4,0.8,2016-12-06 03:34:49
146,IBM CEO Ginni Rometty on how #blockchain provides a pivotal opportunity for companies and industries:… https://t.co/xW1frglgZa,0.5,0.8,2016-12-06 03:25:14
323,All you babes looking for a guy that will love you.. Saying you need a loving guy... Guess what you bitch.. You friend zoned him 😊😊,0.55,0.775,2016-12-06 03:08:27
92,RT @IBMcloud: Great mobile #apps come from a great mobile development platform. @jamesbelton explains: https://t.co/y9iSyY3A39 https://t.co…,0.8,0.75,2016-12-06 03:31:10
73,RT @IBMcloud: Great mobile #apps come from a great mobile development platform. @jamesbelton explains: https://t.co/y9iSyY3A39 https://t.co…,0.8,0.75,2016-12-06 03:33:46
297,RT @Ralph_Jacobson: Great perspective! #THINKmarketing #WatsonHoliday @IBMforMarketing https://t.co/limyoXyw0f https://t.co/kVSx9h3dGd,1.0,0.75,2016-12-06 03:11:06
67,RT @ibm_in: Which area in your organization has seen the most profound impact of cloud? #IBMCloud #outthinktour2016 https://t.co/b4k195JkMU,0.291666666667,0.75,2016-12-06 03:34:49
83,RT @codinghorror: I'm actually excited about this AmazonGO store they're opening in Seattle. As foretold by IBM! https://t.co/pw6hjkjnWI,0.46875,0.75,2016-12-06 03:32:12
950,RT @IBMcloud: Great mobile #apps come from a great mobile development platform. @jamesbelton explains: https://t.co/y9iSyY3A39 https://t.co…,0.8,0.75,2016-12-06 01:50:54
110,RT @IBMcloud: Great mobile #apps come from a great mobile development platform. @jamesbelton explains: https://t.co/y9iSyY3A39 https://t.co…,0.8,0.75,2016-12-06 03:29:01
805,RT @IBMcloud: We're leading the market with more EU #cloud data centers than any vendor in 2017. Own your data in the #IBMCloud: https://t.…,0.55,0.75,2016-12-06 02:04:50
908,RT @codinghorror: I'm actually excited about this AmazonGO store they're opening in Seattle. As foretold by IBM! https://t.co/pw6hjkjnWI,0.46875,0.75,2016-12-06 01:56:19
717,Another step of my Agile journey achieved. #agile #IBM https://t.co/R6vOLCB8kc,0.5,0.75,2016-12-06 02:18:04
133,RT @IBMcloud: Great mobile #apps come from a great mobile development platform. @jamesbelton explains: https://t.co/y9iSyY3A39 https://t.co…,0.8,0.75,2016-12-06 03:26:36
635,RT @ibm_in: Which area in your organization has seen the most profound impact of cloud? #IBMCloud #outthinktour2016 https://t.co/b4k195JkMU,0.291666666667,0.75,2016-12-06 02:28:10
261,IBM: RT IBMcloud: Great mobile #apps come from a great mobile development platform. jamesbelton explains: https://t.co/XuTldnM4vs …,0.8,0.75,2016-12-06 03:15:26
399,Ibm 000-m64 calisthenics great go: UwRtWPuJP https://t.co/4gnoCUpwR7,0.8,0.75,2016-12-06 02:58:04
230,RT IBM: RT IBMcloud: Great mobile #apps come from a great mobile development platform. jamesbelton explains: … https://t.co/zeK0RlIxcL,0.8,0.75,2016-12-06 03:18:19
452,RT @greetsmrati: Winning with #PSD2 compliance https://t.co/wsZBnjHhDX https://t.co/g1oUvvw1Vk,0.5,0.75,2016-12-06 02:51:47
693,RT @IBMStorage: Tomorrow! Don't miss this great panel at #GartnerDC with @zoginstor on maximizing the value of your data! https://t.co/VEeE…,1.0,0.75,2016-12-06 02:20:11
492,RT @Quote_Soup: Great point https://t.co/SQy0vJnNB8,0.8,0.75,2016-12-06 02:46:56
159,"Today, we’re excited to announce our collaboration with @Pfizer using Watson for Drug Discovery in immuno-oncology: https://t.co/1WQRNWBm1j",0.375,0.75,2016-12-06 03:23:42
699,RT @ibm_in: Which area in your organization has seen the most profound impact of cloud? #IBMCloud #outthinktour2016 https://t.co/b4k195JkMU,0.291666666667,0.75,2016-12-06 02:19:48
273,RT @IBMcloud: Great mobile #apps come from a great mobile development platform. @jamesbelton explains: https://t.co/y9iSyY3A39 https://t.co…,0.8,0.75,2016-12-06 03:14:07
819,"RT @big_business_: crazy, they're doing all that for 1 thugga song RT @intlspectator IBM transporting a 5 megabyte hard drive in 1956 https…",-0.445833333333,0.720833333333,2016-12-06 02:02:55
254,I wonder if they ever get IBM's Watson to impersonate HAL and threaten to unplug it lol,0.8,0.7,2016-12-06 03:16:16
257,RT @CitiesChallenge: Using IoT to make our cities more intelligent via @forbes_india @ibm_in https://t.co/VYNzYXbP7I https://t.co/ZRfKKh4sje,0.65,0.7,2016-12-06 03:15:53
340,Use balancing to produce more relevant models and data results https://t.co/8Ulji95Nz3  #Analytics,0.45,0.7,2016-12-06 03:05:34
112,RT @IBMWatson: Build your own Custom Language Model to convert unique Speech to Text. Check out a few examples: https://t.co/JXIglw6fGR htt…,0.258333333333,0.7,2016-12-06 03:28:41
623,RT @IBMWatson: Build your own Custom Language Model to convert unique Speech to Text. Check out a few examples: https://t.co/JXIglw6fGR htt…,0.258333333333,0.7,2016-12-06 02:29:06
382,Use balancing to produce more relevant models and data results https://t.co/thoY01Ljat  #Analytics,0.45,0.7,2016-12-06 03:00:49
985,"RT @EricMinick: Good overview from Ovum on who is who in the release automation / management space. Free from IBM (who's top-right)
https:/…",0.55,0.7,2016-12-06 01:47:51
300,RT @IBMforMarketing: The secret to succeeding on Cyber Monday? See what @TamaraMcCleary has to say. #WatsonHoliday #THINKmarketing https://…,-0.4,0.7,2016-12-06 03:10:54
375,developerWorks: Use balancing to produce more relevant models and data results https://t.co/UX0lLGQVa1  #Analytics,0.45,0.7,2016-12-06 03:01:27
498,What does it mean to be a #data-driven company and how can you be one? @cspenn tells you more:… https://t.co/5Sbv0PyN7o,-0.3125,0.6875,2016-12-06 02:45:16
667,"RT @IBM: How #cognitive technology and a kaleidoscope of powerful imagery helped inspire @AlexDaKid's hit single, ""Not Easy"": https://t.co/…",0.00396825396825,0.68253968254,2016-12-06 02:22:49
924,"RT @IBM: How #cognitive technology and a kaleidoscope of powerful imagery helped inspire @AlexDaKid's hit single, ""Not Easy"": https://t.co/…",0.00396825396825,0.68253968254,2016-12-06 01:54:39
502,"RT @IBM: How #cognitive technology and a kaleidoscope of powerful imagery helped inspire @AlexDaKid's hit single, ""Not Easy"": https://t.co/…",0.00396825396825,0.68253968254,2016-12-06 02:45:04
683,"RT @IBM: How #cognitive technology and a kaleidoscope of powerful imagery helped inspire @AlexDaKid's hit single, ""Not Easy"": https://t.co/…",0.00396825396825,0.68253968254,2016-12-06 02:21:05
775,Happy birthday!! #IBM celebrates the first 25 years of #Linux ! https://t.co/XWq29IymLh,0.65625,0.666666666667,2016-12-06 02:09:24
295,RT @Ralph_Jacobson: The #Retail game is changing with intelligent #pricing #WatsonCommerce @IBMcommerce https://t.co/JtG8lH3at9 https://t.c…,0.2,0.65,2016-12-06 03:11:10
847,#SmarterPlanet: What it Will Take for Us to Trust AI - The early days of artificial intelligence (AI) have been... https://t.co/RxoEfxk128,-0.25,0.65,2016-12-06 02:01:13
149,RT @IBMIoT: 4 smart questions every enterprise architect should ask about IoT. Watch: https://t.co/tEcZOA6vSi #UnlockCloud,0.214285714286,0.642857142857,2016-12-06 03:25:09
279,RT @UCStrategies: How #IoT is making IBM's Smart Planet platform smarter on @RWW https://t.co/yKrx0vvhn5 @ibmiot #smartcities https://t.co/…,0.214285714286,0.642857142857,2016-12-06 03:12:43
280,RT @UCStrategies: How #IoT is making IBM's Smart Planet platform smarter on @RWW https://t.co/yKrx0vvhn5 @ibmiot #smartcities https://t.co/…,0.214285714286,0.642857142857,2016-12-06 03:12:43
283,"RT @ibmretail: How do you engage the smart, digitally-savvy #GenZ consumer? Find out at #nrf17. https://t.co/YNdvCfEZJf #WatsonRetail https…",0.214285714286,0.642857142857,2016-12-06 03:12:34
472,RT @IBMIoT: How #IoT is making @IBM Smart Planet smarter #IoTSlam https://t.co/ULJzCnfayG,0.214285714286,0.642857142857,2016-12-06 02:49:19
409,RT @angelluisdiaz: How IoT is making IBM's Smart Planet platform smarter https://t.co/V9s7pYVkar via @rww,0.214285714286,0.642857142857,2016-12-06 02:55:54
355,RT angelluisdiaz: How IoT is making IBM's Smart Planet platform smarter https://t.co/O73y5OtBHK via rww,0.214285714286,0.642857142857,2016-12-06 03:03:49
719,"RT @ibmretail: How do you engage the smart, digitally-savvy #GenZ consumer? Find out at #nrf17. https://t.co/YNdvCfEZJf #WatsonRetail https…",0.214285714286,0.642857142857,2016-12-06 02:18:00
362,RT WarrenWhitlock: How IoT is making IBM's Smart Planet platform smarter https://t.co/olgnb4n6ea #ochen #iot #technology #business,0.214285714286,0.642857142857,2016-12-06 03:03:40
361,RT UCStrategies: How #IoT is making IBM's Smart Planet platform smarter on RWW https://t.co/Umvkip4I32 ibmiot #sm… https://t.co/WsxIfNQQxs,0.214285714286,0.642857142857,2016-12-06 03:03:41
360,RT IBMIoT: How #IoT is making IBM Smart Planet smarter #IoTSlam https://t.co/OecYup1WJx,0.214285714286,0.642857142857,2016-12-06 03:03:46
395,RT @UCStrategies: How #IoT is making IBM's Smart Planet platform smarter on @RWW https://t.co/yKrx0vvhn5 @ibmiot #smartcities https://t.co/…,0.214285714286,0.642857142857,2016-12-06 02:58:28
396,RT @UCStrategies: How #IoT is making IBM's Smart Planet platform smarter on @RWW https://t.co/yKrx0vvhn5 @ibmiot #smartcities https://t.co/…,0.214285714286,0.642857142857,2016-12-06 02:58:27
407,RT @WarrenWhitlock: How IoT is making IBM's Smart Planet platform smarter https://t.co/PZBBujiNrB #ochen #iot #technology #business,0.214285714286,0.642857142857,2016-12-06 02:57:06
447,RT @greetsmrati: Is IBM’s #Watson as smart as a third-grader? https://t.co/Wr4PRYosgE https://t.co/U018S99we0,0.214285714286,0.642857142857,2016-12-06 02:52:00
461,How #IoT is making @IBM Smart Planet smarter #IoTSlam https://t.co/9Cts6u7hHE by #topiclyiot via @c0nvey,0.214285714286,0.642857142857,2016-12-06 02:50:47
477,RT @IBMIoT: How #IoT is making @IBM Smart Planet smarter #IoTSlam https://t.co/ULJzCnfayG,0.214285714286,0.642857142857,2016-12-06 02:48:47
903,"RT @cloud_opinion: AWS is the clear leader in serverless - do you know who has a chance to be #2?
You would be surprised, but it's IBM with…",0.1,0.641666666667,2016-12-06 01:56:59
612,"RT @cloud_opinion: AWS is the clear leader in serverless - do you know who has a chance to be #2?
You would be surprised, but it's IBM with…",0.1,0.641666666667,2016-12-06 02:30:47
61,"RT @cloud_opinion: AWS is the clear leader in serverless - do you know who has a chance to be #2?
You would be surprised, but it's IBM with…",0.1,0.641666666667,2016-12-06 03:35:55
519,"RT @cloud_opinion: AWS is the clear leader in serverless - do you know who has a chance to be #2?
You would be surprised, but it's IBM with…",0.1,0.641666666667,2016-12-06 02:41:41
812,"RT @coastw: @IBM proud to showcase new generation of #STEM leaders, as part of upcoming new movie @HiddenFigures  https://t.co/t9phkXK6j8",0.357575757576,0.636363636364,2016-12-06 02:03:29
428,RT @greetsmrati: SETI's mega alien hunt shovels more data onto IBM's cloud #SETI https://t.co/nx7v9wNalN https://t.co/QHz7pVJuH3,0.125,0.625,2016-12-06 02:52:51
18,"RT @JedidahIslerPhD: It was a blessing and a thrill to sit for this Vanity Fair + IBM photo shoot in honor of Hidden Figures, the... https:…",0.266666666667,0.616666666667,2016-12-06 03:43:34
795,New on the Ephox blog! WebRadar v5.1 brings in new improvements through its latest release. Check it out… https://t.co/qBDJNMnbOt,0.268939393939,0.60303030303,2016-12-06 02:06:02
716,RT @IBMSoftware: #IBMWatson-powered Emotion Journal wins #DisruptLondon 2016 Hackathon Grand Prize: https://t.co/sp2xZlsbZi https://t.co/JG…,0.4,0.6,2016-12-06 02:18:11
314,"Love,  care and sincerity https://t.co/fj05GHU2vi",0.5,0.6,2016-12-06 03:09:27
634,"#Virgo: IBM will never stop making fast computers. You're thinking of MFI. All of your aims are achievable, alth... https://t.co/EYkOCqmw04",0.2,0.6,2016-12-06 02:28:12
801,#IBMWatson-powered Emotion Journal wins #DisruptLondon 2016 Hackathon Grand Prize: https://t.co/sp2xZlsbZi https://t.co/JG6Ejb4nWb #AI,0.4,0.6,2016-12-06 02:05:05
334,"RT @rwlord: ""The fear of being different robs us of creativity"" - @jaybaer #THINKmarketing https://t.co/QEFXefqJFU",0.0,0.6,2016-12-06 03:07:09
764,RT @IBMSoftware: #IBMWatson-powered Emotion Journal wins #DisruptLondon 2016 Hackathon Grand Prize: https://t.co/sp2xZlsbZi https://t.co/JG…,0.4,0.6,2016-12-06 02:10:40
473,RT @ibmcognos: What does it mean to be a #data-driven company and how can you be one? @cspenn tells you more: https://t.co/Gcr8KUGmQ7 https…,0.09375,0.59375,2016-12-06 02:49:15
792,Amazon's new smart grocery stores are cool but IBM's decade-ago ad is cooler: https://t.co/rpnVk6JyGq $AMZN $IBM,0.23354978355,0.582467532468,2016-12-06 02:06:20
