,text,polarity,subjectivity,date
831,Que ladilla bajar a mcy. :c,-0.75,1.0,2016-12-05 15:49:11
460,RT @Royalforeign__: I'm So Happy With You 💍I Want This FOREVER ..Just You And Me💏#Mcy👅 https://t.co/0KZJeTmSXf,0.8,1.0,2016-12-06 03:27:02
341,"@mcy_39 俺はまゆかちゃんみたいに良い人間じゃないから
仕事辞めないでカンボジアだったり貧相な国の人達の子供達がこれから頑張っていけるように学校建ててあげるくらいかなあ。

最高のひとときだよねこの瞬間(*・ε・*)",0.25,1.0,2016-12-06 10:50:05
95,@mcy_66 おいで(*^_^*),0.25,1.0,2016-12-06 15:26:10
456,RT @Royalforeign__: I'm So Happy With You 💍I Want This FOREVER ..Just You And Me💏#Mcy👅 https://t.co/0KZJeTmSXf,0.8,1.0,2016-12-06 03:33:29
457,RT @Royalforeign__: I'm So Happy With You 💍I Want This FOREVER ..Just You And Me💏#Mcy👅 https://t.co/0KZJeTmSXf,0.8,1.0,2016-12-06 03:32:34
613,Tan creido eL chabon y la tiene chiqitita ;) 👌😂,0.25,1.0,2016-12-05 22:03:46
621,Típico que agarras el cel para escribirle a alguien... Haces de todo y se te olvida escribir :/,-0.25,1.0,2016-12-05 21:56:15
357,Happy Birthday @Tim_Cahill and I will never forget that goal against Japan. I'm also an @Everton fan so thank u for the memories! #efc #mcy,1.0,1.0,2016-12-06 10:13:50
216,"RT @namtanjamsai: (Plz Rt)
""ไอเด็กนี่มันไร้เดียงสาแล้วโครตน่ารักเลยวะ""
#เมียโจรชาน #ficexo 
#chanbaek 
@EXOFictionFan 
@Ficcb__614 
https:/…",-0.75,1.0,2016-12-06 13:17:12
459,RT @Royalforeign__: I'm So Happy With You 💍I Want This FOREVER ..Just You And Me💏#Mcy👅 https://t.co/0KZJeTmSXf,0.8,1.0,2016-12-06 03:31:38
882,"Yo iba a subir a Ccs a ver a mi tiquito, pero mi jefa es un guevo y sigo en Mcy:)))))",0.5,1.0,2016-12-05 14:45:36
314,"@mcy_39 
流石の返しだね(*・ε・*)

モルディブもいいよ🇲🇻",0.25,1.0,2016-12-06 11:37:23
53,wyrokiem sądu rejonowego ;) czym się tu podniecać ... za dwa dni wyjdą na wolność a rozprawa w SO pewnie za 6-mcy ;) https://t.co/CP30nBk9gy,0.25,1.0,2016-12-06 15:55:24
144,am i rlly goin to the mcy thing lmao,0.6,1.0,2016-12-06 14:48:26
472,"C, eres de mcy y no te conozco :/",-0.25,1.0,2016-12-06 02:41:12
753,hoy regreso a mcy :(,-0.75,1.0,2016-12-05 17:55:26
564,RT @Royalforeign__: I'm So Happy With You 💍I Want This FOREVER ..Just You And Me💏#Mcy👅 https://t.co/0KZJeTmSXf,0.8,1.0,2016-12-06 00:13:13
973,RT @angelicajane97: Let's support B.A.P guys and make them happy and share this everywhere and retweet it guys #BAP please Babyz are awesom…,0.8,1.0,2016-12-05 12:58:29
380,RT @BlogRobinS: A very Happy Bday to the one and only @DavidAvilaX 🎉💜 https://t.co/vOdf8MYjdX,0.5,1.0,2016-12-06 08:40:53
773,"RT @MzansiBars: @pH_rawX - #BeforeIBreak EP&gt; https://t.co/wQRFbvERe0 cc @ReasonHD @FrankCasino_ @Nasty_CSA Gemini, Rose, @KwestaDaKAR Ricco…",0.6,0.95,2016-12-05 17:17:12
629,#hot  #caliente #sexo #lesbian #bis #webcam   lo que se me ocurrió estando solita esta tarde ;) me gusta mirar y qu… https://t.co/RLZv45VtkN,0.25,0.925,2016-12-05 21:34:10
784,Vintage License Plate Motorcycle Illinois Land Of Lincoln 494-959 2001 MCY RARE! #Illinois https://t.co/6tgJQm0wl9 https://t.co/FXj7nxi652,0.375,0.9,2016-12-05 17:01:13
800,"Tipo Casual para el gym, la playa uso diario, que esperas para buscarla en #lacajica_mcy https://t.co/DCUPtqHQ0u",-0.5,0.866666666667,2016-12-05 16:35:06
648,RT @BieberBonerz: this version of cold water is so good. OMG he deserves a Grammy for this!!!  https://t.co/iE6QwFPL1O,0.2,0.8,2016-12-05 20:53:34
371,"RT @wear4u: FUCKING HOT SCENE 👌👈
sexy handsome big cock 
Hot ASS 
Part 3

🎥 https://t.co/9d9aBwjqx0",0.3,0.76,2016-12-06 08:50:03
373,"RT @wear4u: FUCKING HOT SCENE 👌👈
sexy handsome big cock 
Hot ASS 
Part 2

🎥 https://t.co/P1K9jOanCD",0.3,0.76,2016-12-06 08:48:16
646,RT @punishment: IF YOU TELL A GIRL YOU THINK SHES PRETTY IN PERSON YOU WIN,0.525,0.7,2016-12-05 20:54:50
782,"RT @Kellan_Klav: @pH_rawX  bro Amazing is Straight Fire 🔥🔥 The EP is just too lit 😭😭😭

#BeforeIBreakEP",0.4,0.65,2016-12-05 17:12:11
765,The Weeknd - True Colour #STARBOY,0.35,0.65,2016-12-05 17:40:52
427,Love Love Love Love たこやきぃ☆,0.5,0.6,2016-12-06 06:43:22
666,@ceejaylenehan I love 💘 love 💘 love 💘 Love 💘 Love 💘 Love 💘 Love 💘 love 💘 Love 💘 Love 💘 Love 💘 Love 💘 Love 💘 Love 💘 you so mcy,0.5,0.6,2016-12-05 20:24:26
637,"RT @karolinanunez1: I can't fuck, cause I can't twerk-Yanin (2012)",-0.4,0.6,2016-12-05 21:15:39
143,love it https://t.co/cBxaGCBL1i,0.5,0.6,2016-12-06 14:48:33
870,Contracts therein naturalistic commonwealth: MCY,0.4,0.6,2016-12-05 15:02:44
381,RT @DavidAvilaX: Good night https://t.co/OPErv4erm3,0.7,0.6,2016-12-06 08:38:53
983,RT @damchuismine: MBC showing its love for #BAP using morse code ❤️ @MBC_entertain 감사합니다 😍 #모스부호 @BAP_Daehyun https://t.co/XYTLlVSnru,0.5,0.6,2016-12-05 12:43:04
17,NOJADAAA MCY ANDO FULL ARRECHO QISIERA UNA BUENA COJIDA Y DAR UNA BUNA MAMADA DE GUEBO PARA Q C ME PASE LA ARRECHERA,0.35,0.55,2016-12-06 16:28:04
148,Finals is fucking hard,-0.291666666667,0.541666666667,2016-12-06 14:44:35
426,"RT @TTM16: If you know or feel that people are not doing the right thing(s), lead by example and they will learn from you. Don't complain.",0.285714285714,0.535714285714,2016-12-06 06:43:47
839,"Ideal para el calor, ven y buscala en #lacajica_mcy local ml 173 piso 1 en el ccgranbazar de #maracay #mcy https://t.co/y7mR9tHxhK",0.45,0.5,2016-12-05 15:35:04
643,RT @WORLDSTAR: The Fresh Prince Of Bel Air is coming to Netflix. Merry Christmas! https://t.co/2A3z6y5X92,0.375,0.5,2016-12-05 20:59:23
900,RT @sayon0517: このたぷめっちゃ可愛いい～♥ #BIGBANG #빅뱅 #탑 #최승현 #TOP #choiseunghyun #崔勝鉉  #たぷ #secretmessage #シーク... (Vine by @TOP_MCY_TY) https://t.co/…,0.5,0.5,2016-12-05 14:29:00
903,RT @sayon0517: たぷ🐤が産まれた瞬間🐣ㅋㅋㅋ #BIGBANG #빅뱅 #탑 #최승현 #TOP #choiseunghyun #崔勝鉉 #ランニングマン #runningman (Vine by @TOP_MCY_TY) https://t.co/IQxCF73…,0.5,0.5,2016-12-05 14:28:21
864,"RT @BTS_twt: once more, #RMusic https://t.co/EIT59SBbqT",0.5,0.5,2016-12-05 15:06:10
776,RT @slikouron: Projects You Should Hear: @pH_rawX - #BeforeIBreakEP #PYSH #slikouronlife https://t.co/h1l5wsLUY0 weeks top stories,0.5,0.5,2016-12-05 17:16:21
894,RT @sayon0517: このたぷ最高に好き😘 #BIGBANG #빅뱅 #탑 #최승현 #TOP #choiseunghyun #崔勝鉉 #たぷ #シークレットメッセージ #secretmessage (Vine by @TOP_MCY_TY) https://t.co/…,0.5,0.5,2016-12-05 14:31:22
779,RT @ThapeloMokoena: Do yourself a favour and jump on the @ph_rawx EP #BeforeIBreak #FreeDownload Pure Elevation… https://t.co/mrrwmGWAbr,0.214285714286,0.5,2016-12-05 17:13:41
771,Tengo que ir a sjm y mcy ok.,0.5,0.5,2016-12-05 17:32:54
485,@Parraga_Lvbp @leonesavila ah ok sera.  Una vez me hicieron botar un agua aki en mcy y después no vendian adentro.. q arrecho carlos guillen,0.5,0.5,2016-12-06 02:16:35
898,RT @sayon0517: ルン✨✨✨ #BIGBANG #빅뱅 #탑 #최승현 #TOP #たぷ #choiseunghyun #崔勝鉉 (Vine by @TOP_MCY_TY) https://t.co/80fuwIlvLg,0.5,0.5,2016-12-05 14:29:41
549,Timbersled Husaberg 660 NOS Full mod (Denver) $11900 https://t.co/P0pfO01rHi,0.275,0.475,2016-12-06 00:53:03
655,@Fwest26 don't even have the $4 it's straight 0,0.2,0.4,2016-12-05 20:50:18
442,Joint-stock association as long as demise: interaction: Mcy https://t.co/jbXNEf4TlH,-0.05,0.4,2016-12-06 04:28:33
249,I just voted for Zeds Dead &amp; NGHTMRE - Frontlines (Axen &amp; Zakii Remix)! - https://t.co/zzN7oLmHQY on @wavome,-0.25,0.4,2016-12-06 12:13:18
651,"RT @SexualGif: i love my mom. no matter what we go through, no matter how much we argue, because i know, at the end, she'll always be there",0.35,0.4,2016-12-05 20:52:32
804,"Acogedor apto. de 39 m2 en Ciudad Real, 1hab, 1b, 1estacionamiento, vigilancia, pozo propio, clima de montaña. 
https://t.co/219uDPGO5h",0.2,0.3,2016-12-05 16:28:18
208,"RT @BikoFoundation: On December 18, Steve Biko would be turning 70 years old. Tonight (8pm) we're reflecting on what his legacy means to yo…",0.1,0.2,2016-12-06 13:37:37
781,RT @Brantley_ZA: 😢... @ph_rawX is the king of Classic beats bruh 😭🔥🔥👑,0.166666666667,0.166666666667,2016-12-05 17:12:34
377,RT @DavidAvilaX: hunky me take a big load up my ass from @DaltonSirius on https://t.co/YPeLXdBLur https://t.co/aVaCbXe9Nm,0.0,0.1,2016-12-06 08:42:31
679,"RT @Minhvi_GestionS: Desde el Área De Gestión Social del #MINHVI, les deseamos una #FelizNavidad y un prospero año nuevo lleno de bendicion…",0.0333333333333,0.0666666666667,2016-12-05 19:42:55
243,@gas_comunal hasta cuando solito inf ref caso corigas y traslado cobro a condominios es ilegal mcy edo aragua vicera cont social,0.0333333333333,0.0666666666667,2016-12-06 12:34:22
740,@9xx26 大丈夫！わたしキムチとごはん食べたからw,0.0,0.0,2016-12-05 18:07:37
673,Pa la calle me voy!!!!! 😉 como que me comere un heladito 🍦🍨🍧,0.0,0.0,2016-12-05 19:59:17
670,RT @maryd_quevedo1: #CampañaParaElVivirViviendo No tires  basura en áreas no destinadas para ello y crea conciencia ambiental entre los mie…,0.0,0.0,2016-12-05 20:13:10
736,@e24eeee くそうんまかっだぁぁぁぁぁあ,0.0,0.0,2016-12-05 18:08:24
653,@elizanetta installe toi à mcy,0.0,0.0,2016-12-05 20:50:57
735,@bflower135 おくむら昨日はありがとね！❤︎,0.0,0.0,2016-12-05 18:08:37
671,"Exquisiteces Suhka
0241-8179629
#Carabobo
#Mañongo
#naguanagua
#vln
#Guacara
#Vzla
#Mcy
#Venezuela
#Maracay
#prebo… https://t.co/GUvo3l0IE3",0.0,0.0,2016-12-05 20:04:14
672,RT @CiudadMCY: #EnFotos Así fue el estreno de la película Arangol en el Teatro de la Ópera de Maracay https://t.co/udO3BjTIeZ https://t.co/…,0.0,0.0,2016-12-05 20:00:20
746,RT @Minhvi_Oficial: #HOY| Min. @MQuevedoF y @Barrio_Tricolor junto al Pueblo en las zonas más afectadas por las lluvias en Pto. Cabello htt…,0.0,0.0,2016-12-05 18:04:58
