Date,Adj. Open,Adj. Close,S&P Open,Adj. High,Adj. Low,Adj. Volume,S&P Adj. Close
2010-12-13,31.64,30.55,410400.0,31.77,30.4,1242.52002,1240.459961
2010-12-14,30.29,28.53,1765700.0,30.3899,27.761,1241.839966,1241.589966
2010-12-15,28.67,29.6,742900.0,29.97,28.53,1241.579956,1235.22998
2010-12-16,30.0,30.81,790100.0,30.91,29.6501,1236.339966,1242.869995
2010-12-17,31.34,31.36,813000.0,31.54,30.71,1243.630005,1243.910034
2010-12-20,31.64,31.7,523400.0,32.19,31.26,1245.76001,1247.079956
2010-12-21,31.8,32.26,777700.0,32.69,31.7101,1249.430054,1254.599976
2010-12-22,32.25,32.63,833300.0,32.86,31.7,1254.939941,1258.839966
2010-12-23,31.26,30.09,1552600.0,32.48,29.92,1257.530029,1256.77002
2010-12-27,28.02,25.549,9301900.0,28.58,25.06,1254.660034,1257.540039
2010-12-28,25.85,26.41,4056300.0,26.75,25.0,1259.099976,1258.51001
2010-12-29,27.03,27.73,3319200.0,28.01,26.5,1258.780029,1259.780029
2010-12-30,27.7,26.5,2041100.0,27.9,26.38,1259.439941,1257.880005
2010-12-31,26.57,26.63,1417900.0,27.25,26.5,1256.76001,1257.640015
2011-01-03,26.84,26.62,1283000.0,26.9999,25.9,1257.619995,1271.869995
2011-01-04,26.66,26.67,1187400.0,26.95,26.02,1272.949951,1270.199951
2011-01-05,26.48,26.83,1446700.0,26.9,26.19,1268.780029,1276.560059
2011-01-06,26.83,27.88,2061200.0,28.0,26.81,1276.290039,1273.849976
2011-01-07,28.0,28.24,2247900.0,28.58,27.9,1274.410034,1271.5
2011-01-10,28.17,28.45,1342700.0,28.68,28.05,1270.839966,1269.75
2011-01-11,28.59,26.96,1710200.0,28.71,26.92,1272.579956,1274.47998
2011-01-12,27.01,26.96,964400.0,27.399,26.52,1275.650024,1285.959961
2011-01-13,26.96,26.22,723600.0,26.97,26.16,1285.780029,1283.76001
2011-01-14,26.15,25.75,1192000.0,26.58,25.61,1282.900024,1293.23999
2011-01-18,25.48,25.64,1621700.0,25.64,24.75,1293.219971,1295.02002
2011-01-19,25.27,24.03,2371500.0,25.47,23.75,1294.52002,1281.920044
2011-01-20,24.03,22.62,2279900.0,24.45,22.37,1280.849976,1280.26001
2011-01-21,23.12,23.04,1217000.0,23.59,22.71,1283.630005,1283.349976
2011-01-24,23.53,24.49,1645100.0,24.81,23.23,1283.290039,1290.839966
2011-01-25,24.65,24.68,1271500.0,24.89,24.02,1288.170044,1291.180054
2011-01-26,24.71,24.75,1079900.0,24.88,24.1,1291.969971,1296.630005
2011-01-27,24.74,24.92,895700.0,25.08,24.53,1297.51001,1299.540039
2011-01-28,24.88,24.01,1048400.0,24.88,23.75,1299.630005,1276.339966
2011-01-31,24.05,24.1,830300.0,24.12,23.5,1276.5,1286.119995
2011-02-01,24.31,23.91,707800.0,24.73,23.54,1289.140015,1307.589966
2011-02-02,24.16,23.94,569500.0,24.18,23.669,1305.910034,1304.030029
2011-02-03,23.82,23.63,512000.0,23.9,23.15,1302.77002,1307.099976
2011-02-04,23.44,23.46,544000.0,23.67,23.22,1307.01001,1310.869995
2011-02-07,23.26,23.07,895100.0,23.26,22.88,1311.849976,1319.050049
2011-02-08,23.78,24.49,3504900.0,25.25,23.0,1318.76001,1324.569946
2011-02-09,24.13,23.21,2635600.0,24.18,22.79,1322.47998,1320.880005
2011-02-10,23.26,23.215,836100.0,23.64,22.81,1318.130005,1321.869995
2011-02-11,23.25,23.25,634500.0,23.75,22.94,1318.660034,1329.150024
2011-02-14,23.64,23.08,1283100.0,24.14,23.05,1328.72998,1332.319946
2011-02-15,23.01,22.84,953700.0,23.17,22.56,1330.430054,1328.01001
2011-02-16,23.1,24.73,4115100.0,24.97,23.0701,1329.51001,1336.319946
2011-02-17,24.63,23.6,2618400.0,25.49,23.55,1334.369995,1340.430054
2011-02-18,23.33,23.18,2370700.0,23.49,22.96,1340.380005,1343.01001
2011-02-22,22.88,21.87,2064600.0,23.0,21.78,1338.910034,1315.439941
2011-02-23,22.18,21.83,1605600.0,22.5,21.11,1315.439941,1307.400024
2011-02-24,21.78,22.53,1055300.0,22.58,21.5,1307.089966,1306.099976
2011-02-25,22.81,23.61,1346300.0,23.85,22.69,1307.339966,1319.880005
2011-02-28,23.74,23.89,1051200.0,24.1,23.5,1321.609985,1327.219971
2011-03-01,24.05,23.94,1106400.0,24.32,23.7,1328.640015,1306.329956
2011-03-02,23.82,24.02,663300.0,24.28,23.725,1305.469971,1308.439941
2011-03-03,24.48,24.36,640200.0,24.79,24.06,1312.369995,1330.969971
2011-03-04,24.48,24.95,1580100.0,24.99,23.78,1330.72998,1321.150024
2011-03-07,24.93,24.94,2033600.0,25.4,24.7,1322.719971,1310.130005
2011-03-08,24.6,24.66,1399900.0,24.96,24.0,1311.050049,1321.819946
2011-03-09,24.66,24.72,924800.0,24.99,24.27,1319.920044,1320.02002
2011-03-10,24.44,24.01,1017000.0,24.49,23.73,1315.719971,1295.109985
2011-03-11,23.85,24.07,930800.0,24.25,23.53,1293.430054,1304.280029
2011-03-14,23.82,23.25,1166000.0,24.0,23.2,1301.189941,1296.390015
2011-03-15,22.2,22.95,1318800.0,22.96,21.8,1288.459961,1281.869995
2011-03-16,22.86,22.82,1169700.0,23.25,22.69,1279.459961,1256.880005
2011-03-17,23.24,22.81,922600.0,23.43,22.64,1261.609985,1273.719971
2011-03-18,23.19,22.96,687900.0,23.19,22.51,1276.709961,1279.209961
2011-03-21,23.05,22.73,411700.0,23.05,22.54,1281.650024,1298.380005
2011-03-22,22.73,22.19,582900.0,22.86,22.0,1298.290039,1293.77002
2011-03-23,22.11,22.21,422800.0,22.27,21.77,1292.189941,1297.540039
2011-03-24,22.14,22.33,462200.0,22.38,21.98,1300.609985,1309.660034
2011-03-25,22.43,22.75,568000.0,23.0,22.4,1311.800049,1313.800049
2011-03-28,22.7,23.25,1058100.0,23.5388,22.55,1315.449951,1310.189941
2011-03-29,23.3,23.92,755400.0,24.0,23.21,1309.369995,1319.439941
2011-03-30,24.11,23.71,1223300.0,24.49,23.01,1321.890015,1328.26001
2011-03-31,26.55,27.75,11517800.0,28.71,26.5,1327.439941,1325.829956
2011-04-01,27.45,26.66,2864800.0,28.18,26.57,1329.47998,1332.410034
2011-04-04,26.83,25.83,2609300.0,27.0,25.23,1333.560059,1332.869995
2011-04-05,25.9,26.7,3180900.0,27.0,25.69,1332.030029,1332.630005
2011-04-06,26.99,26.49,1288300.0,27.01,25.8,1335.939941,1335.540039
2011-04-07,26.85,27.24,2810300.0,27.94,26.4501,1334.819946,1333.51001
2011-04-08,27.58,26.49,1946400.0,27.6004,26.36,1336.160034,1328.170044
2011-04-11,26.47,25.27,1369400.0,26.53,25.02,1329.01001,1324.459961
2011-04-12,25.08,24.65,1357400.0,25.21,24.3,1321.959961,1314.160034
2011-04-13,25.13,24.93,1211500.0,25.69,24.81,1314.030029,1314.410034
2011-04-14,24.87,25.14,983400.0,25.28,24.2,1311.130005,1314.52002
2011-04-15,25.65,25.58,943500.0,26.18,25.41,1314.540039,1319.680054
2011-04-18,25.13,25.03,1033900.0,25.62,24.36,1313.349976,1305.140015
