,text,polarity,subjectivity,date
463,PortfolioBuzz: Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY … https://t.co/VANIwGu4QR,0.0,1.0,2016-12-03 08:35:31
821,"$TSLA $SPY Shaz: Nice, Van...great call...$BRSE another runner up 100% in https://t.co/qPvvOu4vv5",0.6,1.0,2016-12-02 19:16:10
990,They're paying handsomely for put options on $TSLA.  Disrupting!,0.625,1.0,2016-12-02 17:25:05
36,PortfolioBuzz: Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY … https://t.co/tczYfTHwz4,0.0,1.0,2016-12-03 20:20:31
38,Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY https://t.co/TiyDkFZQA9 https://t.co/vs0Lp0udB3,0.0,1.0,2016-12-03 20:19:02
676,"RT @yaani_numbers: Rate hike will kill this ill market, no cure anymore $spx $uvxy $cvx $gm $jpm $wfc $tsla",-0.5,1.0,2016-12-02 22:44:38
782,Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY https://t.co/TiyDkFZQA9 https://t.co/LQhS4LgyhL,0.0,1.0,2016-12-02 19:50:45
665,@deadboy90 @tonyydx this shows that Musk did nothing unique all these brands were already working on EV's https://t.co/YcT8iINPRF,0.375,1.0,2016-12-02 23:15:28
161,A Tesla Model 3 Disaster Will Likely End Musk's EV Empire: Analyst https://t.co/Av5awCI2bz #Tesla #Model3 #ElonMusk $TSLA #TeslaMotors,0.0,1.0,2016-12-03 16:38:36
1043,"No it didn't: ""$TSLA Model S Crashes Into A Truck At 'Tremendous Speed, '"" https://t.co/joU5GkuYDk via @Valuewalk",0.333333333333,1.0,2016-12-02 17:08:09
464,Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY https://t.co/TiyDkFZQA9 https://t.co/3mqMng7leG,0.0,1.0,2016-12-03 08:30:24
1040,"BTW after 30 years on Wall Street when a bullish analyst finally says ""I have reservations"" its code speak for ""GET THE HELL OUT"" of $tsla",0.0,1.0,2016-12-02 17:10:07
1001,"$TIPT - $TSLA
so far.. https://t.co/BEkzr5phBs",0.1,1.0,2016-12-02 17:19:22
557,Yung sexy dance ng Billy Vhong tsla yung accent nila habang binabasa yung istorya,0.5,1.0,2016-12-03 04:23:08
680,"Rate hike will kill this ill market, no cure anymore $spx $uvxy $cvx $gm $jpm $wfc $tsla",-0.5,1.0,2016-12-02 22:23:47
250,Tesla will never have to worry about selling cars (TSLA) - Phil Denton / Creative Commons Consumer Reports just... https://t.co/m0FEBR8wCd,0.5,1.0,2016-12-03 15:02:49
732,"Wow, a sell-side outperformer $TSLA https://t.co/jj7a8sfZNv",0.1,1.0,2016-12-02 20:55:42
267,Tesla will never have to worry about selling cars (TSLA) - Phil Denton / Creative Commons Consumer Reports just... https://t.co/iSyRaKNuFC,0.5,1.0,2016-12-03 15:01:51
797,"If Trump could appoint an EPA head with a disease that makes him always feel it's too cold out, I think Elon's head… https://t.co/ofhU5QyVnu",-0.6,1.0,2016-12-02 19:40:15
502,PortfolioBuzz: Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY … https://t.co/PjWTndTPYD,0.0,1.0,2016-12-03 05:25:08
504,Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY https://t.co/TiyDkFZQA9 https://t.co/ewU2KMX14L,0.0,1.0,2016-12-03 05:20:15
304,Tesla will never have to worry about selling cars (TSLA) - Phil Denton / Creative Commons Consumer Reports just... https://t.co/G5obk1DeBk,0.5,1.0,2016-12-03 14:46:14
132,Stupid Panasonic guys pouring billions to $tsla projects must listen to the dumbasses on Twitter 😸,-0.8,1.0,2016-12-03 17:26:10
306,Tesla will never have to worry about selling cars (TSLA) - Phil Denton / Creative Commons Consumer Reports just... https://t.co/jceGqjhVdX,0.5,1.0,2016-12-03 14:46:10
793,@MCrowhurst_tsla @sl_academy how wonderful ! What will you be reading @GuytonColin ?,1.0,1.0,2016-12-02 19:44:03
749,"@Milt1959 @FoxNews @greggutfeld TSLA go $1.3B to create 300 so far with promise of 6,400 by 2020. Can you do math per job?",0.1,1.0,2016-12-02 20:33:08
401,How batteries work – and potential implications for $TSLA https://t.co/sOn2GB2Tnu,0.0,1.0,2016-12-03 12:09:45
745,Reason #127 to own a #Tesla $TSLA https://t.co/rD28JjXLRZ,0.6,1.0,2016-12-02 20:38:17
768,"$tsla
Desperately trying to hold the Mendoza line ....",-0.6,1.0,2016-12-02 20:05:00
407,PortfolioBuzz: Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY … https://t.co/DKIzDbbo2L,0.0,1.0,2016-12-03 11:35:26
777,PortfolioBuzz: Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY … https://t.co/7gi0Kusnhv,0.0,1.0,2016-12-02 19:55:31
7,32.5 million Ebikes will be sold in China and 1.65 million in WEurope in 2016 versus only 152k in US. Gov. should stop handing $ to $tsla,0.0,1.0,2016-12-03 20:52:37
408,Trends matter not only in fashion but also in trading. Click to check $TSLA $RBS $LLOY https://t.co/TiyDkFZQA9 https://t.co/DQI0uyjDNX,0.0,1.0,2016-12-03 11:33:40
199,@dennycrane550 TSLA could find a buyer but with stock at $27b mkt cap is ridiculous.  Maybe a buyout at $10b and that’s still nuts,-0.333333333333,1.0,2016-12-03 15:46:56
742,RT @Emma_ECDL_SLA: Amazing focus in the ECDL classroom this week @sl_academy #legends https://t.co/tcl3jcx3Is,0.6,0.9,2016-12-02 20:45:00
234,3 Popular Stocks Hedge Fund Tycoons Are Ditching -- $HUM $NFLX $TSLA #STOCKS The Motley Fool https://t.co/dPhFjkTuGl,0.6,0.9,2016-12-03 15:11:54
118,"$TSLA $GM $F:

Lucid Motors is the Latest Car Maker to Try to Take Tesla’s Market …:

https://t.co/QxC0oarv4f",0.5,0.9,2016-12-03 18:06:03
683,One Up on Wall Street by Peter Lynch. Fantastic book on investing: https://t.co/6WRYJLtyMv $SPY $TSLA $VIX $VXX $NFLX $GS $T,0.4,0.9,2016-12-02 22:18:55
292,"$TSLA fanatics c its price growing 2 the sky, there r those who see it going out of biz. https://t.co/jXFRxrmMQr Sure #ElonMusk disagrees.",0.5,0.888888888889,2016-12-03 14:48:34
246,@ times great ideas come 2 soon 4 it reach fruition profitably. That may be the problem for #ElonMusk &amp; $TSLA. Economics sadly not there now,0.525,0.875,2016-12-03 15:03:23
60,"@ghostdogwarrior I like anyone who is innovative however, $TSLA and Musk make bizarre unrealistic decisions and promises",0.133333333333,0.866666666667,2016-12-03 19:44:16
925,$TSLA who are the idiots that are buying here? crazy teslarians...,-0.7,0.85,2016-12-02 17:57:40
962,"It's great to see Mary Barra of $GM on Trump's ""Strategic &amp; Policy"" forum. I'm sure she's a huge $TSLA fan! https://t.co/XVDfpPU6os",0.6,0.846296296296,2016-12-02 17:35:45
787,@notoriouspaulie Fidelity punishes me pretty bad for selling calls in $TSLA. I would have to park a lot of cash with them,-0.225,0.833333333333,2016-12-02 19:46:03
1022,"I have no idea who runs this account (or why he is so angry), but how is it possible there are this many photos of… https://t.co/QxAGwAmVXq",0.0,0.833333333333,2016-12-02 17:13:07
781,Knock knock on Hells door is $TSLA here near 180 very important. Still being defended but lower bounces so far,0.24,0.8,2016-12-02 19:51:58
210,Free Cabot Weekly Review Video looking at The Divergent Market $SPY $FB $TSLA $XPO $SCHW https://t.co/GEurnTQ7Hx https://t.co/4ynolZMhRL,0.4,0.8,2016-12-03 15:33:27
1046,"$TSLA on a weekly time frame looks horse crap, no position, just an observation",-0.8,0.8,2016-12-02 17:06:22
775,TSLA breaks support could get to $140 https://t.co/1lZJfNWRAD free workshops show you how to use options https://t.co/7KfhQD2uQK,0.4,0.8,2016-12-02 19:56:40
203,RT @Jacob_Mintz: Free Cabot Weekly Review Video looking at The Divergent Market $SPY $FB $TSLA $XPO $SCHW https://t.co/GEurnTQ7Hx https://t…,0.4,0.8,2016-12-03 15:40:04
95,"Free Cash Flow Score in Focus for Tesla Motors, Inc. (NASDAQ:TSLA) https://t.co/10YrTuunl4",0.4,0.8,2016-12-03 18:42:14
806,https://t.co/K3R8pxhps4 Biotech stock trader/teacher makes millions!!! Get FREE email updates $GNRC $MRO $NUGT $TSLA,0.4,0.8,2016-12-02 19:33:43
752,$TSLA #Options volume chart in animation. Free stock station app https://t.co/qLndvxomq9 #iTunes https://t.co/rzrqhiIiL5,0.4,0.8,2016-12-02 20:30:11
