Date,Adj. Open,Adj. Close,S&P Open,Adj. High,Adj. Low,Adj. Volume,S&P Adj. Close
2013-11-07,45.1,44.9,117701600.0,50.09,44.0,1770.73999,1747.150024
2013-11-08,45.93,41.65,27925300.0,46.94,40.69,1748.369995,1770.609985
2013-11-11,40.5,42.9,16113900.0,43.0,39.4,1769.959961,1771.890015
2013-11-12,43.66,41.9,6316700.0,43.78,41.83,1769.51001,1767.689941
2013-11-13,41.03,42.6,8688300.0,42.87,40.76,1764.369995,1782.0
2013-11-14,42.34,44.69,11099400.0,45.67,42.24,1782.75,1790.619995
2013-11-15,45.25,43.98,8010600.0,45.27,43.43,1790.660034,1798.180054
2013-11-18,43.5,41.14,12810600.0,43.95,40.85,1798.819946,1791.530029
2013-11-19,41.39,41.75,7436600.0,41.9,40.0,1790.790039,1787.869995
2013-11-20,41.4,41.05,5767300.0,41.75,40.51,1789.589966,1781.369995
2013-11-21,41.25,42.06,8324700.0,42.49,40.37,1783.52002,1795.849976
2013-11-22,41.81,41.0,6185200.0,42.28,40.97,1797.209961,1804.76001
2013-11-25,41.08,39.06,14333300.0,41.14,38.8,1806.329956,1802.47998
2013-11-26,39.16,40.18,9828400.0,40.55,38.92,1802.869995,1802.75
2013-11-27,40.47,40.9,5536300.0,41.4,40.35,1803.47998,1807.22998
2013-11-29,41.4,41.57,4107000.0,41.58,40.9,1808.689941,1805.810059
2013-12-02,41.79,40.78,6424300.0,42.0,40.4,1806.550049,1800.900024
2013-12-03,40.69,41.37,5771000.0,41.6,40.54,1800.099976,1795.150024
2013-12-04,41.27,43.69,11014900.0,43.92,41.27,1793.150024,1792.810059
2013-12-05,43.45,45.62,11729400.0,46.35,42.83,1792.819946,1785.030029
2013-12-06,45.75,44.95,6230000.0,45.8,44.54,1788.359985,1805.089966
2013-12-09,45.59,49.14,17366600.0,49.84,45.02,1806.209961,1808.369995
2013-12-10,48.9,51.99,25792000.0,52.58,48.7,1807.599976,1802.619995
2013-12-11,52.4,52.34,26631500.0,53.87,51.0,1802.76001,1782.219971
2013-12-12,52.2,55.33,23446900.0,55.87,50.69,1781.709961,1775.5
2013-12-13,56.2,59.0,38979600.0,59.41,55.45,1777.97998,1775.319946
2013-12-16,57.86,56.61,39310800.0,60.24,55.76,1777.47998,1786.540039
2013-12-17,56.97,56.45,22115200.0,57.38,54.62,1786.469971,1781.0
2013-12-18,57.0,55.51,16659800.0,57.0,54.23,1781.459961,1810.650024
2013-12-19,55.08,57.49,13152500.0,57.75,55.0,1809.0,1809.599976
2013-12-20,58.51,60.01,26207400.0,60.25,58.01,1810.390015,1818.319946
2013-12-23,59.85,64.54,22163800.0,64.99,59.7,1822.920044,1827.98999
2013-12-24,66.34,69.96,35802700.0,70.87,65.56,1828.02002,1833.319946
2013-12-26,72.88,73.31,82761100.0,74.73,69.13,1834.959961,1842.02002
2013-12-27,70.1,63.75,60418700.0,71.25,63.69,1842.969971,1841.400024
2013-12-30,60.27,60.51,55538300.0,63.71,58.57,1841.469971,1841.069946
2013-12-31,62.36,63.65,27814600.0,65.22,61.65,1842.609985,1848.359985
2014-01-02,65.0,67.5,29246400.0,67.5,64.4,1845.859985,1831.97998
2014-01-03,69.0,69.0,33207200.0,70.43,68.43,1833.209961,1831.369995
2014-01-06,64.83,66.29,27243700.0,66.87,63.5,1832.310059,1826.77002
2014-01-07,67.67,61.46,31748400.0,67.73,61.39,1828.709961,1837.880005
2014-01-08,58.71,59.29,27263200.0,61.26,57.92,1837.900024,1837.48999
2014-01-09,59.54,57.05,31092100.0,60.81,55.59,1839.0,1838.130005
2014-01-10,57.5,57.0,22375900.0,58.76,55.87,1840.060059,1842.369995
2014-01-13,59.98,57.82,20978100.0,60.38,57.29,1841.26001,1819.199951
2014-01-14,58.88,58.21,14778000.0,59.02,57.36,1821.359985,1838.880005
2014-01-15,59.11,61.57,21537300.0,61.75,58.32,1840.52002,1848.380005
2014-01-16,61.45,60.57,16589400.0,62.4,60.46,1847.98999,1845.890015
2014-01-17,63.6,62.2,28391100.0,64.69,61.59,1844.22998,1838.699951
2014-01-21,63.33,62.53,13733200.0,63.44,61.5,1841.050049,1843.800049
2014-01-22,63.11,62.44,12039000.0,63.8,61.76,1844.709961,1844.859985
2014-01-23,61.45,62.8,10183700.0,62.81,60.88,1842.290039,1828.459961
2014-01-24,62.17,61.74,12942200.0,63.62,61.3,1826.959961,1790.290039
2014-01-27,61.77,57.91,18982700.0,61.77,56.1,1791.030029,1781.560059
2014-01-28,57.44,60.44,9346800.0,60.85,57.35,1783.0,1792.5
2014-01-29,59.62,59.45,9140000.0,60.95,58.6,1790.150024,1774.199951
2014-01-30,63.98,63.47,17424300.0,65.24,62.8,1777.170044,1794.189941
2014-01-31,63.39,64.5,15498800.0,65.37,62.65,1790.880005,1782.589966
2014-02-03,65.92,65.25,17890300.0,66.48,64.21,1782.680054,1741.890015
2014-02-04,66.25,66.32,13017400.0,66.37,64.5,1743.819946,1755.199951
2014-02-05,67.16,65.97,31504900.0,67.24,64.8,1753.380005,1751.640015
2014-02-06,50.61,50.03,64856500.0,53.9,49.99,1752.98999,1773.430054
2014-02-07,51.23,54.35,32204400.0,54.92,50.75,1776.01001,1797.02002
2014-02-10,54.5,52.92,15857400.0,54.59,52.34,1796.199951,1799.839966
2014-02-11,53.2,54.0,13162900.0,54.4,53.1,1800.449951,1819.75
2014-02-12,55.05,56.85,20040400.0,57.0,54.76,1820.119995,1819.26001
2014-02-13,56.07,56.47,26009500.0,58.98,55.46,1814.819946,1829.829956
2014-02-14,57.02,57.44,12512400.0,57.86,56.7,1828.459961,1838.630005
2014-02-18,57.88,58.18,10719500.0,58.64,56.77,1839.030029,1840.76001
2014-02-19,58.47,55.5,25772100.0,58.95,54.62,1838.900024,1828.75
2014-02-20,55.82,56.63,12097500.0,57.08,54.65,1829.23999,1839.780029
2014-02-21,57.1,55.92,7714300.0,57.2,55.7,1841.069946,1836.25
2014-02-24,56.03,55.78,8451200.0,56.49,55.3,1836.780029,1847.609985
2014-02-25,55.89,54.96,9288500.0,55.95,54.5,1847.660034,1845.119995
2014-02-26,55.0,55.87,12116000.0,56.99,54.9,1845.790039,1845.160034
2014-02-27,56.34,55.77,6537700.0,56.69,55.4,1844.900024,1854.290039
2014-02-28,55.93,54.91,8137200.0,56.0,54.13,1855.119995,1859.449951
2014-03-03,53.89,53.71,9602300.0,54.4,52.9,1857.680054,1845.72998
2014-03-04,54.25,54.28,6706300.0,55.28,54.12,1849.22998,1873.910034
2014-03-05,54.53,54.38,5672000.0,55.03,53.75,1874.050049,1873.810059
2014-03-06,54.91,54.83,9005700.0,56.09,54.7,1874.180054,1877.030029
2014-03-07,55.18,53.53,7311500.0,55.2,53.31,1878.52002,1878.040039
2014-03-10,54.09,53.88,5759600.0,54.59,53.38,1877.859985,1877.170044
2014-03-11,54.16,54.02,11762600.0,55.84,53.8,1878.26001,1867.630005
2014-03-12,54.25,54.5,5818400.0,55.3,53.88,1866.150024,1868.199951
2014-03-13,54.9,53.57,7671500.0,55.45,53.2,1869.060059,1846.339966
2014-03-14,53.4,51.92,9570400.0,53.91,51.8,1845.069946,1841.130005
2014-03-17,52.08,52.05,6600900.0,52.49,51.35,1842.810059,1858.829956
2014-03-18,52.03,51.13,12228900.0,52.21,50.29,1858.920044,1872.25
2014-03-19,50.8,51.24,7624200.0,51.98,50.71,1872.25,1860.77002
2014-03-20,51.0,50.12,10086200.0,51.66,49.64,1860.089966,1872.01001
2014-03-21,50.24,50.92,11801400.0,50.92,49.51,1874.530029,1866.52002
